sentiment,content
hate,nick s voice still makes me wanna kill things
worry,will you ever come to sf bay area to preform i feel left out
worry,oh i think i didnt do well on my photo editing for db sorry
worry,aww sad now stupid crapped up phone and deciding that you would go and screw yourself up and never again work arghhh
worry,start work   moro at     not looking forward to it
sadness,being lonely all the time
love,still on track to move back albeit in     years however my buddy jen is now moving with me so we re on a fast track
neutral,o and i have to wear a damn jacket today cos i didnt notice a mark on my shirt
worry,god the weather in london is ammmmazing yet i m on a train half the day
love,ok so i did shed a few tears watching the preview for next weeks medium i m so scared i m so addicted to this show i love it
neutral,can you ask ryan why he stopped following me on twitter
surprise,so it s friday i have to keep reminding myself since every day seems the same
worry,going to see angels and demons tonight it better not scare me
neutral,should be going to bed but cannot sleep right now
worry,having horrible nightmares not gonna go back to sleep
sadness,i m suffering from the internet that works bad only sites hosted on russian servers are available for me
surprise,i want to go to singapore but my mother seems not
worry,is trying so hard to not worry and be at peace despite her circumstances but wonders why some christians are the ones making it so hard
worry,i wish i had more chicken wings
happiness,my life what a beautiful morning i can think if no better way to ruin it than by being at work
worry,selling  jaffa race tickets my friends are so heartless they wont even buy one
worry,i feel like i m on alott of drugs
worry,asks can someone pass me some load kahit   pesos lang
worry,ahhh fusterated
anger,yes boo for soar throats and earaches
worry,i think i should hire one of those tranlsators because no one ever understands me
empty,see miles away
neutral,is desperate to go to the venice beinnale
neutral,sleep work tomorrow
sadness,ouch epic bruise between my toes and a lump just under my ankle bad times
neutral,got greatscores i m off a while for exam yeaps
sadness,epic ocd moment i deleted my sims file that i spent hours building just because i set his favorite food wrong
worry,ugly what programmes do you have open
surprise,owww i m aching alll over
worry,massive headache argh
worry,it s so hard to settle on a name
surprise,yay it s friday hold on i have to work tomorrow
relief,oopsie the origami box i just made looks like a strawberry should i be allowed to teach
sadness,heading home could really have done without banging my head on the way into the bus
worry,awww that is very sad i sawwy
sadness,also i hit my chin on something when i fell down and it hurts ugh work is gonna suck
worry,feels sorry every time i m printing out i use like   new papers
sadness,doing uni work all weekend fun times
sadness,blech thats a fail when you re receiving dollars i quoted a job in usd last month i m getting paid now major losses
sadness,tmz harvey levin or type tmz in find people
sadness,first time i m going home early sucks to b single no one to call
happiness,wish my nicky were home too
hate,again your fault i didnt make u leave
surprise,umm why will it not let me change my background im twitter challenged
love,i really want to marry leighton meester damn can t take my eyes of her
worry,just say no reeesee cup
worry,ill in bed my stomach is killing me
happiness,hmm osaka last show today very sad i can decode ur msg haha cant wait till u get   sydney d i missed out on tickets tho o xx
sadness,when are you guys coming back to do a tour in oz i missed you when you were here earlier this year made me sad
worry,bummer i know lol i actually do more partying when i am in school then out of school i think it somehow helps me hahaha
worry,housemate saw angel demons last night but left me at home was looking forward to seeing that wanted   reminise
neutral,so u aren t going to be in chicago
worry,and it s starting to get cold
worry,gawd people still remember the preggers comment hate you
neutral,i think i ve finally reached the point in my life where i need a nasal hair trimmer
sadness,hmm i m disappointed i made   servings and i am only able to enjoy one because my stomach is now full wishing i had company to help
worry,ugh i m not doin too good
worry,whyyy am i still awake when i have to work at   this is not good
worry,really thinks wee callum should of got through last night
sadness,its taking foreverrr for to get here im bored
worry,i had my hair cut today and my boyfriend didn t notice
neutral,ew tongue kiss
neutral,walls of jericho please come to worcester asap candace pleeaassee why did flee the seen call it quits whyyy
hate,i m pretty sure isis has a tapeworm so she s allowed to snuggle with me all she wants tonight
neutral,i m still working
worry,did not feel like getting up
sadness,is very cold
worry,gone r the days wen we used to sit   exams no more exams no more classes no more bunking n no more fun
worry,its at   am im very tired but i can t sleep but i try it
love,marrrrrrrrrry me   have fun partying tonight have a drink for me if only i was   i wud come there just to see you
sadness,what a waste of lives
sadness,i know man my day off and am pulling myself out of bed
hate,got such sore feet
worry,uff ble litt trist av ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¿ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½ lese den siste tweetsen din the challenge prooved too be tough
worry,i cant find my itouch for the   billionth time n i need it to sleep
sadness,yis i ryke it
worry,back from a e very nice doctor diagnosed ligament damage she felt i could still do my  k run but it might take me   days to heal
sadness,i m havin the stupid stomach pain again again today is my outing with sph frenz my stomach nvr fails to dissappoint me haiz
love,awwww thanks for follwin me thou lol
surprise,dude you didn t even say bye
sadness,if not impossible
neutral,sometimes spam leaks in to the message board
neutral,yeh i suppose but its not the same you know to me henry isn t really a gunner any more
worry,son s  th birthday this weekend taking him out for a mexican meal and a major game buying spree i miss the lego days
surprise,oops i completely forgot
worry,i shorry bebeh it okeh ada one more chance
sadness,boo for all the season finales
worry,certain tweets i write are on the spot messages for a person group or pornstar and those tweets usually get deleted within the hour
worry,cavs got lucky  night lol but lebron took over and killed em another triple double
sadness,nothing it s sad actually
love,using my brothers g  phone love it driving to vegas my phone died this morning and my charger broke
happiness,huhuhu still working to get new clients in motion graphics
worry,rain rain go away
surprise,he was a very tallented man so its fitting wish i was closer to see it myself
worry,fucking typical gh m arrives just as i leave for work it s going to be a long day
fun,is constantly listening to the song fly with me b c it s the cutest song peter pan wendy turned out fine
sadness,i m glad sad that it s not just me my iphone badoptus
worry,bout to knock out feelin a lil sick peace y all
neutral,need to pass the exams
worry,just got home after walking the dogs very humid in kaneohe no ac in my home ceiling fans work
worry,noooo i ll miss you too much i went stag to my prom and all the high school and middle school dances if that helps
hate,fucksake i shouldn t smoke so much stuff
neutral,every element in the dom with children is a single parent
sadness,likes being friends but it hurts when u love your friend but the feelings arent the same trying to sleep has to really try to give up
love,slept all day lol now time to start on my un article what fun
neutral,it s is in the july issue of oxm so i don t have anything to link you to right now
neutral,i give in to easily
worry,why don t any of my friends ever miss me why do   year old pervs like me why can t i be a shape shifter
worry,entered house searching mode yesterday we need to find an apartment in dÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¿ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½sseldorf until the end of august this one was temporary
sadness,he was creepy for me at first but i did really grow to like him i cried like a baby when he and tosh died
fun,lol yeah haha yeah things are okay pretty much the same slowly sorting out everything lol exams are coming d haha
love,hey chocolate chips is good i want a snack too but i m out of snacks
worry,with hubby at the dentist ready to hold his hand and getting nervy about potentially buying a car tomorrow
happiness,why does googledocs do folders instead of labels like gmail i kind of like labels
hate,so damn tired another long day trw
hate,just woke up i m starving
neutral,i need a present for my mom could anybody help me
sadness,going down the post office to try and sort this whole ebay hacker thing
empty,sore throat planning the tet outing to marwell though good times
surprise,devastated set alarm for     forgot to turn     alarm off got up at     and showered thinking it was     i am a full fool
neutral,guess what happened to my butt yesterday yes annas finger came for a visit and i said nothing about it
worry,something wrong layout of abduzzeedo site looks no good today anyone
happiness,yeah he was such a good erm entertainment
worry,getting that funny feeling that usually indicates i m sick great
sadness,bacon fail at gulb lack of chef
worry,got another long day of papers and projects tomorrow but this time one of the projects is shaving its been like   mths lol man legs eww
worry,yeah it s gonna be rubbish
sadness,d you get hate tweets that s sasd
neutral,akhrnya the hills nggi   nya macet  himym cm ada season  pdhl gw nyari season nya
sadness,is suprisingly okay or possibly still drunk goodbyes suck though
worry,just checked my bank balance i spend like a millionaire despite the fact i am nowhere near as rich as one
worry,wow i will be away and my expecting wife is going to be here in india thats gonna suck since i have made her so dependent on myself
sadness,i wanna go out
sadness,it s overwhelming how i m finally catching up with my cousin bff since i was three who i haven t seen in years ah memories miss her
worry,missing my man two months is so long to not see him
neutral,surgery when i wake up
sadness,sf felt way too intense for me tonight hope that doesn t keep up upset with myself for not hanging with and pearl
worry,i read the disclaimer i had to close my browser
worry,its chilly n lonley n this livingroom
sadness,so sorry to hear that i lost two hard drives this year i know the feeling
sadness,so many farewell parties sad to see people leaving
enthusiasm,your making me jealous now i want one how long have u guys been married
fun,is on her last day at metro magazine ta ta dream job ps june issue out now czech it out
worry,memphis just can t catch a break these days my poor tigers
neutral,they are having a closing down sale does not look good
sadness,i m sleepy but is feeling under the weather ugh these damn tonsils i need some company or somebody to talk too
worry,  words and counting my hands hurt
happiness,i would totally take you to prom if i hadnt already gone sorry lol
worry,i miss the doctor who regular series
worry,jeez little one is seriously constipated don t know what to do anymore anyone tips it s terrible seeing him in serious pain
sadness,im the only ho that didnt go to tigerheat tonite
happiness,come hang out wif meeee
worry,yes otherdad wait do i go back to sleep or cause mischief
happiness,hmmm thinking about taking back that i feel better this morning i think i spoke to early
sadness,not to be too macabre but its hard to believe we dropped a real nuclear weapon on real japanese humans warisfucked
worry,inshalla devo i wont be at the astor tonight
sadness,i wish i wasn t all bummed but i kinda am
sadness,yup unfortunately took today off work and just slept all day
worry,itunes upgrade reset playcount to zero how will i know which one of   hasta siempre versions i liked best
sadness,is feeling so bored i miss school time
worry,watched the notebook last night wahhhhhhh v good cried my eyes out maybe a bit too close to home i think go watch
anger,my stomach is all explode from the wendys why is everything that tastes good bad for you
neutral,go to my father s house or not that is the question domestic food and people around me vs my bed my tv and my world dont know
worry,hugs those are the worst mine used to be really bad on the first day sometimes can t even get out of bed
neutral,i did one last night it will be available in dvd blue ray and digital download via the itunes store by the end of the week
neutral,no havent heard anything about the show it hasnt been on on saturday nights but there are the occasional sunday reruns
worry,aww cant wait till u get   sydney d i missed out on tickets tho o xxx
worry,imissu come back home now honey
surprise,falling asleep and waking to gun shots arent fun
worry,i m concerned for that family
hate,i will never forgive you for burying the erotica you re snuffing out our love
hate,had to fix bike chain on the way to work arrived a filthy bloody mess lovely weather though
neutral,have you seen who s knocked you off top spot on wefollow for perth
sadness,that sux but mayb   the btr u nvr know
neutral,dreamsthedream i came back to germany yesterday my five days in the uk were over
sadness,cant sleeeeep i miss my long hairrr
neutral,  i really want to see up
sadness,mom is ok so far just missing jaron
fun,nuhhhh no info on ticketek yet heaps excited though i dont care how much but i hope it isn t too much
worry,just called toyota car won t be ready til  
love,im finally going home but didnt get to finish all my work so ill be back tomorrow
worry,oh dear not fun
worry,can t sleep so i m watching hgtv i m afraid infomercials are about to take over
neutral,because twitter is about being an attention whore meet new haircut same as the old one she refused to cut a fringe
sadness,has had awful hiccups today and now can t fall asleep because of them
happiness,i know i wish she would i just wanna cuddle and sleeep in ga and go to the world of coke
neutral,i guess i m just not smoking tonight
sadness,use twitter quit life
worry,hey is your site down i was going to listen to the web stream but can t get to the site
neutral,oh cr p placebo tix and tori amos both go on sale at  am anticipating hot cake distribution of both
relief,happy belated birthday to billy i forgot to say that on his bday i feel aweful
love,haha yeah i know yeah things are okay pretty much the same i m slowly sorting things out exams are coming d haha
sadness,listing to old jb music going bck to       i miss tht
hate,wants to move to qld already this cold weather is killing me
sadness,just woke up can t go back to sleep had a txt from the bff sayin if you re up call me sounds important but that was   hours ago
neutral,    through project car  
neutral,playing bejewled on facebook damn it i want a higherscore
neutral,starting to wonder if i m going to get this job came across as though i d find work elsewhere if needs must not intentionally
sadness,my truss failing
worry,so i guess im stuck in the lobby
worry, days rperss where are youuuuuuu
hate,stuck in huge traffic jam
worry,this porridge tastes shit i cba with today man
worry,have to sell my car it s costing me too much can now afford one rollerskate bye bye petey
neutral,lovely morning to cycle to work but met with a   degree office
sadness,trending topics on twitter used to useful now they re just like middle schoolers passing around notes cause class is boring
hate,hates typing on a mac wishing that i ll be done my english essay soon sleeeepy
fun,want to get my hands dirty with fubumvc but the document is not yet complete
neutral,going to work it s    am
worry,seriously getting hurt   days before nationals what a joke
sadness,cereal doesnt come with toys anymore i jus been thinkin i was buyin the wrong kinds say it aint so mo
empty,sleep what s sleep again i ve seem to have forgottten the meaning too much on my mind or it s just my usual insonmia
sadness,now the mosquito truck is waking me up
worry,haha okay you were talking about middle college grad i think and i got worried
worry,i hate tossing and turning why can t i just fall asleep
sadness,another boring meeting to attend
happiness,nooo but hey you re back next week are you moving back for good
enthusiasm,can t tell you how thrilled i am to have just had a nosebleed first time in ages overjoyed doesn t cover it urgh
worry,can t seem to sleep tonight its    am i need to get up in less than   hours
hate,bah i h  waking up
enthusiasm,you guys didn t call or come over did we do something def give us a call tomorrow and hang out with us chick
happiness,yeah i also had to do a paper i only have one more final left algebra i take it on my birthday june  
hate,i hate working especially when the weather is good
sadness,damn i missed blogtv i hope it was funsies
neutral,on the train now i forgot by charger that means no whoshere for me today till i get home haha but i d still tweet u guys xxx
sadness,i m torn do i get an extended warranty for my iphone when mine runs out or jailbreak i ve already got problems with battery earpiece
worry,yeh still have the weekend but i get weekends anyways today is my full last day of vacation time
surprise,back at work too much email in my inbox
sadness,friday night is my fav night of the week but now i have to go to stupid dog training classes
sadness,hello bella why r you going to delete your account
worry,i think it goes against everything i thought the olympic spirit of team gb is was
worry,auditions are good but iam super nervous that is one of my virtues
neutral,nothing
sadness,that sucks i m going to be doing summer school need to catch up on several units
worry,going to revise for physics
hate,have you ever stepped on a slug by accident i just did i hate bugs
sadness,damn  got to turn off my alarm so i woke up at    am
sadness,i miss cary and want to drink some chocolate milk with him
neutral,don t ask hoping that today will be an improvment on the rest of the week looking forward to the weekend weather
relief,can t i just be a stay at home mom already
relief,this sux but took like   minutes going to sleep finally
neutral,  days to recover from ligament damage from now will give me about   days to train for the  k
worry,i am lost please help me find a good home
neutral,  degrees would be a dream it s   in boise still
happiness,i just saw the hamlet update too excellent news never so good as live though
sadness,im ill hate it seeing the doc at   too  
worry,want to get my hands dirty with fubumvc but the documentation is not yet complete
hate,shit week all fucking week off to the gym now with the worst headache
surprise,oh men not in the mood i ll go home tomorrow wanna be w my family its my birthday
sadness,thats the crazy part was for     but reasons include full schedule travelling with his daughter so not cool
happiness,i can t work twitter on my phone we re just in bed thinking of funny stuff from last night l good times
neutral,feel like am at one of those gyms where the machines work you rather than you them
hate,my eyes are streaming i hate hayfever it s so bad even my tablets aren t working
surprise,do you really smoke
worry,omfg are you alright
worry,omg i m so sorry i m the worst employee ever my hard drive just failed taking the survey data with it
worry,is bored at school and my throat it swollen
sadness,approaching the weekend quite quickly and so much more work left to do
fun,yay thank you feels like ur yelling at us lol
worry,down with a nasty cold in cagayan de oro
sadness,now im sad but im not giving in first i didnt do nothing
boredom,my brother just woke me up to help him with his homework i m not happy
sadness,disturbed they sold the baby tiger i met in thailand as an exotic pet greedy bastards
neutral,wishes wag na sana ma reject thesis proposal ko nadedepress na ko eh goodluck annoyed
neutral,yep i wish they were all playing dubiln
sadness,and i m so naughty i cant even take my dog i have to sit watch how proper dog owners do it will brunos life ever be the same
surprise,ok ahhh last chance to go into school before chemistry exam
sadness,also anyone else hayfevery today i ve only been awake for  mins and sufferin already
sadness,i m glad that all got cleared up i lah you idk why linda hates me though
empty,dog just farted so bad
sadness,morning alex hope you will be tweeting lots today as we do miss you when you aren t on here xx
worry,euh got ldap schema error why oh why
neutral,lunch at    pm
neutral,assignments
surprise,sooo tired i cant believe its already dark outside i didnt even get to see the day
empty,yeah i ve got the same issue signed up but no confirmation email
love,i loved johnny carson now i m going to hate seeing jay leno go via that s what i was waiting for someone to say
sadness,sorry to hear that man he is were the bullshit cant reach him now my heart goes out to you and your family
love,visit si fr joemar dito bataan frm camiguin sum of my ofcmates i are supposed to meet him this saturday can t luwas
neutral,prepare yourself
hate,boo you didnt answer my text
happiness,lucky rob always gettin the t  s from emalon
worry,aw were sad you had to leave tokyo come back please
fun,there are days of summervac school comes along just   end it the annual problem of r generation is finding a good way   spend it
neutral,told you
love,it s foggy here
neutral,but you should move here i have school
surprise,aint the uk fans your fav people
fun,haha nice have fun doll hopefully i ll see ya soon i miss ur face
worry,e docs are getting younger these days can u guess where am i yup nuh paying my ear doc a visit ouch
enthusiasm,well i m going to try and sleep now i have to be at work at   tomorrow and then the weekend starts
worry,my mum said i probably wont get out of it also it goes for like   months that s normal right
sadness,im cold i still cant find my hoodie
neutral,eating pringles at nearly   am really reminds me of touring with the jonas brothers don t ask i miss that so much
empty,i don t even know what sporting social enterprise means
neutral,your pic didn t show up for me boo all the other pics on that site show up but not yours
fun,yummy chocolate cake wish even i got one for my b day anybody listening
sadness,um why arent episodes     of lost season   on abc good thing im going to vegas in the am to keep me distracted from this tragedy
worry,it was white i acidentally left it in when i was doing my colours
happiness,going back to manila this evening all my trips to cebu are so bitin
love,just posted my first video a contest entry and my still is terrible too boo luv ur videos btw xxxrebelrebelxxx
worry,i seriously hate my life it s currently    am i have   finals tomorrow and have not slept a single second
worry,i m sorry i ll make sure i do that next time
sadness,same was going to try warm milk but i m lactose intolerant haha
neutral,hope yours will go away quicker than mine   weeks now and counting
worry,yack yack resorting to these   etc to stay within twitter limits not good
worry,i wish i could go back to bed with
boredom,just woke up day off and need to go in to work that sucks also have to go dentist for filling at   then st helens for mri scan at  
sadness,mom has left again
surprise,is up and i can t go to sleep
sadness,chapter   probably on monday i still need more comments
neutral,just finished watching terminator other than the music nothing is great
worry,i cant afford it go to school here
worry,cries aj radio is gone guess i won t be djing anymore until i get this fully fixed how are we btw heaps of homework long weekend
happiness,cool dude yeah i was hoping your rate was still     lol yeah not sure when ill mar and par for my birthday dinner
sadness,need retail therapy bad ahhh gimme money geebus
worry,i feel less than nothin lower than zero
worry,attempting to sleep my puppy is sick already
hate,my mind is racing b c of   words he wrote i hate him but i hate her most and i can t keep from falling for him
sadness,cant sleep so tired goodnight maybe
neutral,so i am working on the news as well while i am doing all of this rob is all over the place no wonder that boy never gets left alone
enthusiasm,got my cable set up win got my lock put on my door win feeling a tad neglected fail
sadness,really i m an alumnus and i don t know myself and we didn t have macs yet when i was there
worry,blimey you re still suffering
neutral,yeah that was my thumb last night sorry
sadness,back to la from las vagas nice trip nice food but lose   with slot machine
fun,ill be alright but the whip may not
worry,oh fack u gave me police thats some seriouse shit
surprise,i cant afford it go to school here
worry,too broke for cigarettes
fun,i feel like red lea now
worry,squirrel where i hate squirrels
neutral,why didnt i see you
empty,just watched mall cop wasn t that funny but wasn t too bad i guess i kinda wish i still worked at a movie theater
worry,can t sleep why isn t my in my damn account bofa is trippin
worry,i m with you in this i ve always have prob prioritizing myself ahead of him
happiness,morning twitties heading to college just back from the docs god i m hungry streching my ears again today  mm payday i love you
neutral,backache
fun,five o clock can t come any faster
boredom,finishing the video fuck me it s so long
worry,lappytop baterrry dying tryingtofind a movieto watch since im staying in and goingto my room
sadness,wowowee willie of fortune is just making me depressed damn love
hate,bluedart takes a shipment all the way before figuring out no deliver and then bring it back databases anyone
sadness,watching jimmy f delete all his social network profiles no more jimmy cyber time
worry,i no longer have a ticket for ny
empty,the sun is shining and i m stuck in work
worry,i have to study
hate,just been bitten by smoothstreaming it doesn t seem to work for my client s linux users fan fricking tastic
neutral,idk if i could it would cost me soo much there
hate,madaya ka christian bleh i hate u
worry,squabbling with people over the internet is great for my tumblarity but bad for my ego when they have more internet friends than me
enthusiasm,wow been away   a while stupid lap top is in the shop still hope everyone is well
worry,type cold in my room
sadness,desperately wishing i could sleep but i am too frazzled about my gma and can t sleep it s really bad tonight xx
fun,planning a road trip down to san diego with a detour into vegas to celebrate my birthday too bad it s   wks away i want to go now
worry,is myspace mobile free or do u have   have credit cause they are liers
worry,yikes i hope she was okay i never her heard her say her tummy hurt
empty,don t follow me you will ruin my twitter experience
worry,flight to hurghada delayed   hours
worry,going to be a strange weekend probably srtarting off with working til midnight tonight
enthusiasm,i need to get my friggin cameras cleand asap
fun,lucky kid i so wanna see loserville pity im in oz
love,friends come over and give me a massage i can t sleep
surprise,aw you named your car that s very sweet i m sorry to hear that petey has to go i hope you find a really posh rollerskate
neutral,yes yes you will
sadness,no allowed a calculator for this exam despite it containing laths that is impossible to compute in my head
worry,whataburger closing all locations but tally so harsh might have to transfer schools
relief,im very sorry
sadness,  hours of sleep and a mild hangover carelessness and the loss of a brand new ipod pouch
worry,i m sure it s not what you think is this really you i saw you couple of months back in naia was shy to approach   a pic
worry,i m so worn out this week has sped by soo fast gonna ask mum if we can go to the movies i m desperate
sadness,wee laddie s been so upset for about   hours tried soothing him in bed nursing etc nope up at    am for real food blue clues now
love,july  st that means at your concert i won t know all the songs oh well yay demi  
happiness,i have been playing skate for two hours now i need to get out and actually skate but it s too late
worry,i ve got a dentist s appointment soon the drill feels like i ve got my brain in a blender not looking forward to it
neutral,ghhh went an hour earlier to bed thinking ill get an area hr of sleep woke up an hr earlier today is gonna be a looooong one again
happiness,me too she was adorable and you could tell the pressure got to her
neutral,that bloody free kick after   min   seconds was sooooooo close to going in if only
neutral,contemplating when to hand in my lovely car
worry,fuck it should be recoverable it s just the boot part that s messed up grr argh my business was on there
neutral,live tv coming to the xbox   but only if you live in the uk
worry,ate pussy i refuse to bless her cuz she already clingy
neutral,you people are missing the point here instead of loosing followers he s gaining over   new ppl in   hours
neutral,the     is definitely going sold the     and  f  is too heavy think i ll get away with the     twedding
worry,not well again it s definitely not hayfever
worry,how come its so hard to find a guy with the same passion for love as for a woman am i ever going to see the day im lonely yall
sadness,im sorry i dont wanna cuz of how u act u just turn right around and ignore me and all that
surprise,oh my gosh my hair is so short i miss my long hair
worry,probably not in this weather
neutral,today yeah
neutral,oh well i ve never seen him do anything before so i m not gonna say anything
sadness,ugh id better get up for work
love,lindsay we are your spanish fansite and we love you www ultimatelohan org please reply us i wish you a good flight  
worry,i am living in a country where the government is always a circus show sad but true
neutral,robertmills looks like i m on tea duty all day
sadness,had my lip pierced for about   minutes and then it died
sadness,why not everything workout as you planned
worry,don t know who u r anymore
sadness,aww only  minutes left of family guy
neutral, wordsaftersex my turn yet
worry,my dead grandpa pays more attention to me than you do
neutral,wants to go to sleep with the sound of the rain
love,lindsay we are your spanish fansite and we love you www ultimatelohan org please reply us i wish you good luck
boredom,don t know what to do today amazing weather and i m sitting here great
worry,big news but i don t know if i can share it
neutral,lol academy ish haha i really really miss o b
worry,i ll be stuck inside the office all day today
worry,being dragged round ikea this morning bad times
worry,aww sorry boo i haven t bought a printer in   years my canon i d is still making amazing prints have zero fisheye exp
sadness,i wanted to see the story on acorn tonight on glen beck but i missed it
worry,so still finishing errands for a trip tomorrow morning where i have to be at airport at  am
sadness,tv arrived but can t play cos have to go to stupid work
worry,this is a little sad and i know i am new but no one has ff me yet
worry,invasion of the old ladies has just ended still have to clean up not going to be able to make it to the tweetup tonight
neutral,down in my series with denver on  k     
surprise,i almost say bless you to a sneezing cat
enthusiasm,at work leave for berlin at     by car will be a late arrival
worry,im goodie i feel like we are so disconnected
happiness,there s ding tai fung here in sydney aswell making me want dumplings
worry,arrives in mfk with these potholes i foresee a wheel changing session hai no man
sadness,going to bed with no sexy time ughhh
worry,sneezing is never a good sign
sadness,sometimes i have a pillow and sometimes i don t
worry,why online one download this week
worry,sigh i always disappoint people who get in my way everyone i m out i might disappoint everyone else here
sadness,fml dad didnt leave me any moneyz so i have   wait till he gets home call me when you finish work
worry,ummm last night when i dm d you you said it was a good question
hate,i hate this bit
neutral,i kno i shoulda came
love,i miss you sweetie
sadness,i miss feb  rd   best night of my whole entire fucking life i d rather re live that night then win  million
love,wish you were coming to australia new zealand with the sticky tour ant
sadness,rangitanandy as a kid i remember searching with the local video store owner in a godown got a video tape with fungus badluck
neutral,i wish i had company
worry,right now thats about all i can deal with i work too much and i need my space most women dont offer that
worry,work suckd another closing nite with   dollars pockeded i need a new job
neutral,has woken up feeling a little special i dont thing drink the bar dry is on the cards when i finally sober up its home time i think
love,what a bummer that tomorrow is friday again
neutral,poor buddy being teased by mini puggy i think what you need is a pughug
worry,screw the fact you can t post long updates on twitter
worry,ebay   mile rule not working for me too many pairs of leather trousers being sold in aberdeen will try next week
love,thanks just used a therm to pry it out was like concrete blood and everything he s doing a lot better now thank god
neutral,wasn t much of a debate
worry,hey got your text sms i plan on maybe just catching a flick tonight last night was a wee bit too much for me
surprise, breakupwords you have changed
neutral,only four full days left in aussie land i don t want to go home
neutral,they re gone
sadness,freakyfriday slipped in the shower and fell lucky to escape with just a couple of concussions
sadness,damn i failed in my assassination attempt on louis re
sadness,damn i missed it too
sadness,y am i still awake smh this sucks
sadness,is having headache and colds
surprise,grr we are only allowed gas grills where i live it sucks
sadness,this headache is killing me yet i need to cover some boring police event
worry,another night of not sleeping
worry,dannymcfly and i think you should come home now
worry,you guys dont get too drunk without me
neutral,on way to work
neutral,is sick in the doctors waiting room
hate,this place blows my ubertwitter isn t functioning here had to switch to tb
worry,too much details but glad he is better
love,just finished the village so in love could watch it over and over wonder why i can t get to sleep tonight
sadness,i m sooo lost without my car this is truly depressing pregnant people should never be this stressed out
surprise,what s wrong with people second break in at wallmans tonight
sadness,i am like the most saddest person on jtv right now because you are not on
sadness,heathrow connect is ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¿ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½    i thought it was a bargain express is   but then it terminated at hayes harlington and i had to take a bus
love,my glass is empty will someone be a dear and fetch me another
neutral,leave fraser alone
sadness,it just upsets me becasue like   years we have loved them and then this happens imm really uset now x
surprise,oh poor you atleast get paid for staying back or
sadness,marley and me is the saddest movie ever i never cry in movies but this movie mad me cry
surprise,here got a  jobs a degree but my damn car died so just made me feel shitty bout not havin a car
sadness,i was looking forward to seeing in raleigh fan for   years nb too but scalpers took the tix and sell them for   morons
sadness,they got attacked by the club
hate,cars been dropped off for service and mot getting the train home hate public transport
worry,morning tweeple i m a bit sneezy today
relief,i am soooo right now
neutral,trying to understand why why i joined twitter everyone else was doing it i felt left out
neutral,u ever jus fell like damn i jus want to cake it n lay next to ur baby watch movies chill freak on all night
worry,did not win kelly clarkson tickets sorry cecilia really wish i could give that to you you so much deserve it
sadness,lol i know i wld like to get a reply from seann william scott but he dont reply and hes one of my favourite actors
sadness,i m so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida
neutral,just wants to stay in bed all day but has to go to work instead sux
love,all of you can have fun tweeting all day while im cleaning hair lol
worry,what do u do when ur dads losing it mentaly and dosent remeber you
worry,why am i up i have to wake up at  
sadness,google wave presentation i m not very impressed it s nice but it s not really for me
worry,i am lost please help me find a good home
sadness,fixed my favourites   and the heels fell off after   wears
neutral,dizzy i wanna lie die but those calories aren t gonna just balk because i ignore them
neutral,is super tired
neutral,just realized that chris lake was spinning in stockholm yesterday and i missed it
surprise,haha i love surprises i don t work til sunday tho so i have to wait
worry,hate be late
worry,feeling like shit hope its not swine flu or something
worry,its friday and i m sick story of my life
worry,how i wish the result is true
love,summer is really ending it s raining
worry,where s yummiest pan mee for me it s behind dance center ipoh garden south and i miss it
neutral,i almost lost you again phone silly indy
happiness,this is one of my all time favorite episodes quotes from the officeus only
neutral,i can t buy only rent
sadness,nice action shot i miss working a pole
sadness,i am not going to entertain any request for reducing shipping cost by using registered post instead of courier from now on
worry,i still have a very depressed feline fuzzball it s another trip to vet tmrw to see what can be done worried doesn t even cover it
surprise,wtf pogs are back too
sadness,going to miss my roomie we will no longer be roomies starting tomorrow
worry,sus ate i was so upset i wasn t informed at all turns out they told sarms and they expected her to tell me huff
hate,hydro drive abandoned after three miles
neutral,were done so much for them then brazilians ha but no meh i think they love the other countries more then the uk
worry,pmsl we had crap everywhere too but no more love it my wool stash today though
sadness,dreading work tomorrow wish i had one more day off
worry,with  mph winds
worry,what s going on
worry,where has my sleep run off to
neutral,work sucked another   hour shift with only   dollars to show for i need a new job
empty,i had   buy a new washer bought the dryer   dryer labeled electric but is gas grrr now we have   load it up tomorrow   return it
neutral,word i m always up
sadness,kewsboogie im just so lonely right now maybe sade got me feeling like this
sadness,very tired and anxious
happiness,i chilled in my room with my baby book missed my bro leavin he really is cool had a stripper shirt on said i suppoort single moms funny
sadness,its my burfday and i m all alone
worry,business or pleasure will keep my eye out for anything you re just missing a moondog concert tomorrow night
